DateTime,000016.SH,600000.SH
2017/9/4,2711.3475,12.78
2017/9/5,2729.8476,13.03
2017/9/6,2714.3309,12.96
2017/9/7,2691.829,12.85
2017/9/8,2686.6899,13.03
2017/9/11,2674.7502,12.99
2017/9/12,2692.5401,13.04
2017/9/13,2687.6707,12.87
2017/9/14,2672.8364,12.85
2017/9/15,2668.3759,12.83
2017/9/18,2674.1759,12.91
2017/9/19,2670.6914,12.9
2017/9/20,2662.6266,12.88
2017/9/21,2675.5508,12.87
2017/9/22,2679.0529,12.89
2017/9/25,2680.6516,12.94
2017/9/26,2678.9912,12.86
2017/9/27,2661.5532,12.85
2017/9/28,2661.2832,12.84
2017/9/29,2672.3272,12.87
2017/10/9,2692.0769,13.04
2017/10/10,2695.5374,13.1
2017/10/11,2707.5221,13.06
2017/10/12,2718.3508,13.05
2017/10/13,2713.3767,12.94
2017/10/16,2726.6423,13.04
2017/10/17,2723.5345,12.99
2017/10/18,2753.0105,13.07
2017/10/19,2756.0354,13.13
2017/10/20,2737.6411,13.01
2017/10/23,2734.3683,12.84
2017/10/24,2753.6492,12.86
2017/10/25,2752.1394,12.9
2017/10/26,2771.0435,12.82
2017/10/27,2814.272,12.85
2017/10/30,2809.1069,12.7
2017/10/31,2793.7119,12.61
2017/11/1,2789.4022,12.54
2017/11/2,2794.1017,12.53
2017/11/3,2800.4688,12.58
2017/11/6,2792.2237,12.47
2017/11/7,2821.9558,12.54
2017/11/8,2819.9571,12.58
2017/11/9,2832.9612,12.55
2017/11/10,2862.3432,12.63
2017/11/13,2873.5145,12.8
2017/11/14,2861.4234,12.6
2017/11/15,2850.0504,12.6
2017/11/16,2879.3977,12.39
2017/11/17,2938.7983,12.78
2017/11/20,2941.1532,12.85
2017/11/21,2987.1731,12.94
2017/11/22,3012.3552,13.23
2017/11/23,2940.7256,13.06
2017/11/24,2936.8339,13.09
2017/11/27,2917.306,13.1
2017/11/28,2897.107,12.94
2017/11/29,2893.2825,12.94
2017/11/30,2863.4469,12.91
2017/12/1,2842.1841,12.91
2017/12/4,2861.3609,12.92
2017/12/5,2910.4755,13.17
2017/12/6,2875.7315,12.96
2017/12/7,2848.888,12.96
2017/12/8,2865.3407,12.93
2017/12/11,2899.1036,12.97
2017/12/12,2850.1969,12.75
2017/12/13,2872.94,12.74
2017/12/14,2850.0458,12.69
2017/12/15,2820.1666,12.62
2017/12/18,2829.0585,12.65
2017/12/19,2873.0302,12.75
2017/12/20,2879.6434,12.73
2017/12/21,2895.3659,12.7
2017/12/22,2880.7725,12.62
2017/12/25,2880.0968,12.59
2017/12/26,2894.3358,12.64
2017/12/27,2839.6346,12.62
2017/12/28,2859.0537,12.54
2017/12/29,2860.4363,12.59
2018/1/2,2908.7318,12.72
2018/1/3,2913.2596,12.66
2018/1/4,2919.4787,12.66
2018/1/5,2932.3558,12.69
2018/1/8,2947.7613,12.68
2018/1/9,2969.3175,12.7
2018/1/10,2995.5641,13.02
2018/1/11,2997.0448,12.94
2018/1/12,3018.5957,12.91
2018/1/15,3048.8075,13.02
2018/1/16,3063.8609,12.9
